FileName :   BH62_grain3.qtiDat 
Signal(s) Used :  K  Ka, Si Ka, Mg Ka, Na Ka, Al Ka, Ti Ka, Fe Ka, Cr Ka, Mn Ka, Ni Ka, P  Ka, Ca Ka 
Spectromers Conditions :   Sp3 LPET,  Sp4 TAP,  Sp4 TAP,  Sp1 LTAP,  Sp1 LTAP,  Sp2 PET,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp3 LPET,  Sp2 PET 
Full Spectromers Conditions :   Sp3 LPET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 40nA  
Date :  16-Nov-2014 
User Name :  sx 
Setup Name :  Mathews_sp_13november2014.qtiSet 
DataSet Comment :  BH62_grain3_profile1_sp 
Comment :  BH62_grain3 
Analysis Date :  15/11/2014 17:40:27 
Project Name :  Simon Matthews 
Sample Name :  14 November 2014 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp3(K  Ka)	1890	1124	3	560	791	Inte	 
  Sp4(Si Ka)	1313	2713	3	2074	2433	Inte	 
  Sp4(Mg Ka)	1313	2713	3	2074	2433	Inte	 
  Sp1(Na Ka)	1301	2697	3	2008	2194	Inte	 
  Sp1(Al Ka)	1301	2697	3	2008	2194	Inte	 
  Sp2(Ti Ka)	1305	910	3	1935	456	Inte	 
  Sp5(Fe Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Cr Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Mn Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Ni Ka)	1868	445	3	1007	399	Inte	 
  Sp3(P  Ka)	1890	1124	3	560	791	Inte	 
  Sp2(Ca Ka)	1305	910	3	1935	456	Inte 
Peak Position :   Sp3 42748 (-300, 250),  Sp4 27744 (-500, 300),  Sp4 38523 (-500, 500),  Sp1 46386 (-600, 400),  Sp1 32481 (-500, 500),  Sp2 31420 (-350, 250),  Sp5 48089 (-250, 300),  Sp5 56875 (-250, 300),  Sp5 52204 (200, 1.0221),  Sp5 41185 (-500, 500),  Sp3 70304 (-700, 600),  Sp2 38386 (-300, 250) 
Current Sample Position :   X = 7462 Y = 35043 Z = 96 
Standard Name :   
 K  On KSp 
 Si, Ca On Diopside 
 Mg On Olivine (St. Johns) 
 Na On Jad 
 Al On Cor 
 Ti On Rutile 
 Fe On Fayalite 
 Cr On Cr 
 Mn On Mn 
 Ni On NiO 
 P  On Apatite 
Standard composition :   
 KSp = O  : 46.1%, Na : 0.8%, Al : 9.7%, Si : 30.3%, K  : 12.8%, Fe : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Jad = O  : 47.5%, Na : 11.3%, Al : 13.2%, Si : 27.8%, Fe : 0.2% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Cr = Cr : 100.% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
Calibration file name :   
 K  : KSp_K_K033.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca043.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg043.calDat 
 Na : Jad_Na308.calDat 
 Al : Cor_Al_Al050.calDat 
 Ti : Rutile_Ti_Ti053.calDat 
 Fe : Fayalite_Fe282.calDat 
 Cr : Cr_Cr288.calDat 
 Mn : Mn_Mn290.calDat 
 Ni : NiO_Ni091.calDat 
 P  : Apatite_P_P028.calDat 
Beam Size :  1 µm 

DataSet/Point	K	Si	Mg	Na	Al	Ti	Fe	Cr	Mn	Ni	P	Ca	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	162.	136.	232.	162.	161.	149.	676.	795.	421.	512.	101.	158.		7462.	35043.	96.	BH62_grain3_profile1_sp	0.	 1	15/11/2014 17:40:27	
1 / 2 . 	162.	134.	235.	164.	161.	155.	663.	813.	421.	517.	104.	158.		7468.	35044.9	96.	BH62_grain3_profile1_sp	6.28	 2	15/11/2014 17:45:47	
1 / 3 . 	164.	137.	236.	161.	161.	152.	653.	756.	395.	524.	104.	159.		7474.	35046.7	96.	BH62_grain3_profile1_sp	12.56	 3	15/11/2014 17:50:57	
1 / 4 . 	164.	137.	230.	164.	161.	150.	672.	750.	403.	537.	96.	156.		7480.	35048.6	96.	BH62_grain3_profile1_sp	18.84	 4	15/11/2014 17:56:05	
1 / 5 . 	159.	135.	241.	160.	161.	150.	653.	829.	413.	526.	101.	157.		7486.	35050.4	96.	BH62_grain3_profile1_sp	25.12	 5	15/11/2014 18:01:12	
1 / 6 . 	161.	135.	233.	162.	161.	148.	672.	775.	407.	516.	102.	161.		7492.	35052.3	96.	BH62_grain3_profile1_sp	31.4	 6	15/11/2014 18:06:19	
1 / 7 . 	167.	138.	235.	157.	160.	152.	683.	801.	417.	504.	97.	153.		7498.	35054.1	96.	BH62_grain3_profile1_sp	37.69	 7	15/11/2014 18:11:25	
1 / 8 . 	153.	137.	236.	160.	161.	153.	674.	779.	422.	511.	94.	158.		7504.	35056.	96.	BH62_grain3_profile1_sp	43.97	 8	15/11/2014 18:16:31	
2 / 1 . 		135.	205.		12.	60.	388.	123.	236.	139.	23.	44.		7526.	35064.	96.	BH62_grain3_profile1_ol	67.36	 9	15/11/2014 18:22:38	
2 / 2 . 		137.	205.		12.	60.	383.	122.	229.	137.	22.	45.		7537.	35066.	96.	BH62_grain3_profile1_ol	78.45	 10	15/11/2014 18:35:28	
2 / 3 . 		136.	203.		12.	60.	394.	125.	237.	138.	22.	45.		7548.	35068.	96.	BH62_grain3_profile1_ol	89.56	 11	15/11/2014 18:46:58	
2 / 4 . 		135.	203.		12.	60.	401.	126.	230.	139.	23.	45.		7559.	35070.	96.	BH62_grain3_profile1_ol	100.69	 12	15/11/2014 18:58:28	
2 / 5 . 		136.	203.		12.	60.	408.	126.	232.	140.	23.	45.		7570.	35072.	96.	BH62_grain3_profile1_ol	111.83	 13	15/11/2014 19:09:59	
2 / 6 . 		135.	203.		12.	60.	413.	124.	230.	138.	23.	44.		7581.	35074.	96.	BH62_grain3_profile1_ol	122.97	 14	15/11/2014 19:21:28	
2 / 7 . 		135.	202.		12.	61.	407.	124.	234.	139.	23.	45.		7592.	35076.	96.	BH62_grain3_profile1_ol	134.12	 15	15/11/2014 19:32:58	
3 / 1 . 	166.	140.	234.	169.	163.	153.	692.	806.	405.	493.	104.	163.		7366.	33557.	96.	BH62_grain3_profile2_sp	1489.1	 16	15/11/2014 19:44:29	
3 / 2 . 	164.	140.	236.	156.	162.	151.	658.	807.	420.	527.	107.	163.		7360.8	33553.1	96.	BH62_grain3_profile2_sp	1493.33	 17	15/11/2014 19:49:49	
3 / 3 . 	163.	136.	236.	160.	162.	155.	683.	806.	423.	535.	97.	158.		7355.6	33549.2	96.	BH62_grain3_profile2_sp	1497.57	 18	15/11/2014 19:54:57	
3 / 4 . 	164.	140.	230.	170.	162.	151.	642.	819.	416.	527.	97.	162.		7350.3	33545.3	96.	BH62_grain3_profile2_sp	1501.83	 19	15/11/2014 20:00:04	
3 / 5 . 	162.	140.	236.	163.	162.	152.	661.	840.	410.	516.	94.	156.		7345.1	33541.5	96.	BH62_grain3_profile2_sp	1506.1	 20	15/11/2014 20:05:09	
3 / 6 . 	167.	139.	233.	162.	163.	153.	639.	829.	435.	510.	103.	159.		7339.9	33537.6	96.	BH62_grain3_profile2_sp	1510.39	 21	15/11/2014 20:10:17	
3 / 7 . 	164.	139.	239.	158.	161.	151.	681.	788.	420.	513.	106.	151.		7334.7	33533.7	96.	BH62_grain3_profile2_sp	1514.69	 22	15/11/2014 20:15:25	
3 / 8 . 	169.	138.	234.	174.	162.	154.	691.	792.	431.	504.	103.	164.		7329.4	33529.8	96.	BH62_grain3_profile2_sp	1519.02	 23	15/11/2014 20:20:32	
3 / 9 . 	166.	135.	235.	162.	162.	151.	658.	811.	421.	522.	103.	159.		7324.2	33525.9	96.	BH62_grain3_profile2_sp	1523.35	 24	15/11/2014 20:25:39	
3 / 10 . 	169.	138.	233.	166.	162.	151.	667.	801.	412.	521.	98.	155.		7319.	33522.	96.	BH62_grain3_profile2_sp	1527.71	 25	15/11/2014 20:30:46	
