FileName :   BH62_grain3.qtiDat 
Signal(s) Used :  K  Ka, Si Ka, Mg Ka, Na Ka, Al Ka, Ti Ka, Fe Ka, Cr Ka, Mn Ka, Ni Ka, P  Ka, Ca Ka 
Spectromers Conditions :   Sp3 LPET,  Sp4 TAP,  Sp4 TAP,  Sp1 LTAP,  Sp1 LTAP,  Sp2 PET,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp3 LPET,  Sp2 PET 
Full Spectromers Conditions :   Sp3 LPET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 40nA  
Date :  16-Nov-2014 
User Name :  sx 
Setup Name :  Mathews_sp_13november2014.qtiSet 
DataSet Comment :  BH62_grain3_profile1_sp 
Comment :  BH62_grain3 
Analysis Date :  15/11/2014 17:40:27 
Project Name :  Simon Matthews 
Sample Name :  14 November 2014 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp3(K  Ka)	1890	1124	3	560	791	Inte	 
  Sp4(Si Ka)	1313	2713	3	2074	2433	Inte	 
  Sp4(Mg Ka)	1313	2713	3	2074	2433	Inte	 
  Sp1(Na Ka)	1301	2697	3	2008	2194	Inte	 
  Sp1(Al Ka)	1301	2697	3	2008	2194	Inte	 
  Sp2(Ti Ka)	1305	910	3	1935	456	Inte	 
  Sp5(Fe Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Cr Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Mn Ka)	1868	445	3	1007	399	Inte	 
  Sp5(Ni Ka)	1868	445	3	1007	399	Inte	 
  Sp3(P  Ka)	1890	1124	3	560	791	Inte	 
  Sp2(Ca Ka)	1305	910	3	1935	456	Inte 
Peak Position :   Sp3 42748 (-300, 250),  Sp4 27744 (-500, 300),  Sp4 38523 (-500, 500),  Sp1 46386 (-600, 400),  Sp1 32481 (-500, 500),  Sp2 31420 (-350, 250),  Sp5 48089 (-250, 300),  Sp5 56875 (-250, 300),  Sp5 52204 (200, 1.0221),  Sp5 41185 (-500, 500),  Sp3 70304 (-700, 600),  Sp2 38386 (-300, 250) 
Current Sample Position :   X = 7462 Y = 35043 Z = 96 
Standard Name :   
 K  On KSp 
 Si, Ca On Diopside 
 Mg On Olivine (St. Johns) 
 Na On Jad 
 Al On Cor 
 Ti On Rutile 
 Fe On Fayalite 
 Cr On Cr 
 Mn On Mn 
 Ni On NiO 
 P  On Apatite 
Standard composition :   
 KSp = O  : 46.1%, Na : 0.8%, Al : 9.7%, Si : 30.3%, K  : 12.8%, Fe : 0.3% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Jad = O  : 47.5%, Na : 11.3%, Al : 13.2%, Si : 27.8%, Fe : 0.2% 
 Cor = O  : 47.1%, Al : 52.9% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Cr = Cr : 100.% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
Calibration file name :   
 K  : KSp_K_K033.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca043.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg043.calDat 
 Na : Jad_Na308.calDat 
 Al : Cor_Al_Al050.calDat 
 Ti : Rutile_Ti_Ti053.calDat 
 Fe : Fayalite_Fe282.calDat 
 Cr : Cr_Cr288.calDat 
 Mn : Mn_Mn290.calDat 
 Ni : NiO_Ni091.calDat 
 P  : Apatite_P_P028.calDat 
Beam Size :  1 µm 

DataSet/Point	K2O	SiO2	MgO	Na2O	Al2O3	TiO2	FeO	Cr2O3	MnO	NiO	P2O5	CaO	Total	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	0.0000	0.1236	18.7173	0.0498	42.0999	0.1158	13.3496	23.5161	0.0990	0.2187	0.0000	0.0215	98.3112	7462.	35043.	96.	BH62_grain3_profile1_sp	0.	 1	15/11/2014 17:40:27	
1 / 2 . 	0.0009	0.1246	18.8675	0.0634	42.1288	0.0989	13.0667	23.6500	0.1206	0.2277	0.0099	0.0271	98.3862	7468.	35044.9	96.	BH62_grain3_profile1_sp	6.28	 2	15/11/2014 17:45:47	
1 / 3 . 	0.0007	0.1220	18.8449	0.0426	42.0867	0.1095	13.1748	23.8817	0.1615	0.2310	0.0000	0.0170	98.6721	7474.	35046.7	96.	BH62_grain3_profile1_sp	12.56	 3	15/11/2014 17:50:57	
1 / 4 . 	0.0005	0.1273	18.7837	0.0533	42.0006	0.1227	13.2953	23.9432	0.1582	0.2288	0.0000	0.0180	98.7315	7480.	35048.6	96.	BH62_grain3_profile1_sp	18.84	 4	15/11/2014 17:56:05	
1 / 5 . 	0.0051	0.1313	18.6920	0.0512	41.9853	0.1225	13.2038	24.1387	0.1338	0.2417	0.0047	0.0239	98.7339	7486.	35050.4	96.	BH62_grain3_profile1_sp	25.12	 5	15/11/2014 18:01:12	
1 / 6 . 	0.0015	0.1288	18.8063	0.0492	42.0792	0.1248	13.2673	23.4866	0.1207	0.2465	0.0005	0.0176	98.3290	7492.	35052.3	96.	BH62_grain3_profile1_sp	31.4	 6	15/11/2014 18:06:19	
1 / 7 . 	0.0000	0.1191	18.6738	0.0648	42.1206	0.1053	12.9160	23.4683	0.1280	0.2616	0.0001	0.0372	97.8948	7498.	35054.1	96.	BH62_grain3_profile1_sp	37.69	 7	15/11/2014 18:11:25	
1 / 8 . 	0.0125	0.1100	18.7104	0.0505	42.1042	0.1008	13.1705	23.3617	0.1144	0.2315	0.0195	0.0343	98.0204	7504.	35056.	96.	BH62_grain3_profile1_sp	43.97	 8	15/11/2014 18:16:31	
2 / 1 . 		40.6097	47.1883		0.0819	0.0061	10.6851	0.1182	0.1634	0.3080	0.0034	0.3540	99.5182	7526.	35064.	96.	BH62_grain3_profile1_ol	67.36	 9	15/11/2014 18:22:38	
2 / 2 . 		40.5097	47.0552		0.0804	0.0046	10.8247	0.0925	0.1836	0.3057	0.0038	0.3524	99.4125	7537.	35066.	96.	BH62_grain3_profile1_ol	78.45	 10	15/11/2014 18:35:28	
2 / 3 . 		40.4430	46.8277		0.0783	0.0000	10.9322	0.0687	0.1762	0.2905	0.0050	0.3474	99.1689	7548.	35068.	96.	BH62_grain3_profile1_ol	89.56	 11	15/11/2014 18:46:58	
2 / 4 . 		40.3763	46.5305		0.0774	0.0011	11.3812	0.0605	0.1982	0.2941	0.0022	0.3453	99.2666	7559.	35070.	96.	BH62_grain3_profile1_ol	100.69	 12	15/11/2014 18:58:28	
2 / 5 . 		40.1566	46.2912		0.0627	0.0077	11.8378	0.0714	0.1958	0.2655	0.0080	0.3479	99.2446	7570.	35072.	96.	BH62_grain3_profile1_ol	111.83	 13	15/11/2014 19:09:59	
2 / 6 . 		40.2767	46.0560		0.0583	0.0051	12.0267	0.0651	0.2043	0.2647	0.0053	0.3598	99.3222	7581.	35074.	96.	BH62_grain3_profile1_ol	122.97	 14	15/11/2014 19:21:28	
2 / 7 . 		40.2381	45.7502		0.0532	0.0080	12.3758	0.0613	0.2080	0.2578	0.0033	0.3865	99.3423	7592.	35076.	96.	BH62_grain3_profile1_ol	134.12	 15	15/11/2014 19:32:58	
3 / 1 . 	0.0034	0.1043	18.3283	0.0034	41.4439	0.1223	14.0151	24.2013	0.1354	0.2845	0.0000	0.0061	98.6479	7366.	33557.	96.	BH62_grain3_profile2_sp	1489.1	 16	15/11/2014 19:44:29	
3 / 2 . 	0.0000	0.1085	18.5477	0.0071	41.4541	0.1416	13.5290	24.4795	0.1177	0.2447	0.0003	0.0046	98.6348	7360.8	33553.1	96.	BH62_grain3_profile2_sp	1493.33	 17	15/11/2014 19:49:49	
3 / 3 . 	0.0016	0.1272	18.5604	0.0078	41.4439	0.1373	13.3965	24.7667	0.1280	0.2100	0.0112	0.0108	98.8016	7355.6	33549.2	96.	BH62_grain3_profile2_sp	1497.57	 18	15/11/2014 19:54:57	
3 / 4 . 	0.0000	0.0958	18.6227	0.0177	41.2940	0.1446	13.4895	24.9099	0.1334	0.2315	0.0127	0.0111	98.9629	7350.3	33545.3	96.	BH62_grain3_profile2_sp	1501.83	 19	15/11/2014 20:00:04	
