FileName :   HBT2_grain5.qtiDat 
Signal(s) Used :  Na Ka, Al Ka, K  Ka, Cr Ka, Fe Ka, Mn Ka, Ni Ka, Si Ka, Mg Ka, Ca Ka, Ti Ka, P  Ka 
Spectromers Conditions :   Sp1 LTAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp4 TAP,  Sp4 TAP,  Sp2 PET,  Sp3 LPET,  Sp2 PET 
Full Spectromers Conditions :   Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 40nA  
Date :  10-Nov-2014 
User Name :  sx 
Setup Name :  Mathews_sp_7november2014.qtiSet 
DataSet Comment :  HBT2_grain5_profile1_sp 
Comment :  HBT2_grain5 
Analysis Date :  09/11/2014 20:17:01 
Project Name :  Simon Matthews 
Sample Name :  7 November 20147 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp1(Na Ka)	1301	2654	3	2008	2194	Inte	 
  Sp1(Al Ka)	1301	2654	3	2008	2194	Inte	 
  Sp3(K  Ka)	1892	1127	3	560	791	Inte	 
  Sp5(Cr Ka)	1867	445	3	1007	399	Inte	 
  Sp5(Fe Ka)	1867	445	3	1007	399	Inte	 
  Sp5(Mn Ka)	1870	445	3	1007	399	Inte	 
  Sp5(Ni Ka)	1867	445	3	1007	399	Inte	 
  Sp4(Si Ka)	1308	2697	3	2074	2433	Inte	 
  Sp4(Mg Ka)	1308	2697	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1303	904	3	1935	456	Inte	 
  Sp3(Ti Ka)	1889	1118	3	560	791	Inte	 
  Sp2(P  Ka)	1303	904	3	1935	456	Inte 
Peak Position :   Sp1 46384 (-600, 400),  Sp1 32475 (-500, 500),  Sp3 42757 (-300, 250),  Sp5 56880 (-250, 300),  Sp5 48090 (-250, 300),  Sp5 52214 (200, 1.0221),  Sp5 41184 (-250, 300),  Sp4 27744 (-500, 300),  Sp4 38521 (-500, 500),  Sp2 38394 (-300, 250),  Sp3 31426 (-350, 250),  Sp2 70351 (-700, 600) 
Current Sample Position :   X = 18165 Y = -27510 Z = -198 
Standard Name :   
 Na On Jad 
 Al On Cor 
 K  On KSp 
 Cr On Cr 
 Fe On Fayalite 
 Mn On Mn 
 Ni On NiO 
 Si, Ca On Diopside 
 Mg On Olivine (St. Johns) 
 Ti On Rutile 
 P  On Apatite 
Standard composition :   
 Jad = O  : 47.5%, Na : 11.3%, Al : 13.2%, Si : 27.8%, Fe : 0.2% 
 Cor = O  : 47.1%, Al : 52.9% 
 KSp = O  : 46.1%, Na : 0.8%, Al : 9.7%, Si : 30.3%, K  : 12.8%, Fe : 0.3% 
 Cr = Cr : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
Calibration file name :   
 Na : Jad_Na_Na001.calDat 
 Al : Cor_Al_Al049.calDat 
 K  : KSp_K_K032.calDat 
 Cr : Cr_Cr287.calDat 
 Fe : Fayalite_Fe281.calDat 
 Mn : Mn_Mn288.calDat 
 Ni : NiO_Ni090.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca042.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg042.calDat 
 Ti : Rutile_Ti_Ti052.calDat 
 P  : Apatite_P_P027.calDat 
Beam Size :  1 µm 

DataSet/Point	Na	Al	K	Cr	Fe	Mn	Ni	Si	Mg	Ca	Ti	P	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	146.	60.	152.	403.	642.	403.	502.	213.	318.	158.	72.	150.		18165.	-27510.	-198.	HBT2_grain5_profile1_sp	0.	 1	09/11/2014 20:17:01	
1 / 2 . 	184.	138.	164.	852.	750.	431.	552.	157.	243.	158.	75.	153.		18165.	-27504.3	-198.	HBT2_grain5_profile1_sp	5.75	 2	09/11/2014 20:22:23	
1 / 3 . 	187.	143.	168.	917.	746.	453.	540.	138.	232.	162.	75.	176.		18165.	-27498.5	-198.	HBT2_grain5_profile1_sp	11.5	 3	09/11/2014 20:27:30	
1 / 4 . 	190.	145.	166.	879.	748.	452.	551.	141.	230.	156.	74.	144.		18165.	-27492.8	-198.	HBT2_grain5_profile1_sp	17.25	 4	09/11/2014 20:32:39	
1 / 5 . 	180.	144.	167.	901.	749.	443.	559.	141.	224.	157.	75.	170.		18165.	-27487.	-198.	HBT2_grain5_profile1_sp	23.	 5	09/11/2014 20:37:48	
2 / 1 . 		20.		214.	438.	260.	153.	156.	175.	46.	62.	24.		18165.	-27472.	-198.	HBT2_grain5_profile1_ol	38.	 6	09/11/2014 20:42:58	
2 / 2 . 		11.		123.	412.	244.	141.	189.	201.	44.	61.	23.		18165.5	-27460.8	-198.	HBT2_grain5_profile1_ol	49.18	 7	09/11/2014 20:54:54	
2 / 3 . 		11.		127.	413.	239.	142.	191.	203.	45.	61.	22.		18165.9	-27449.6	-198.	HBT2_grain5_profile1_ol	60.37	 8	09/11/2014 21:06:30	
2 / 4 . 		11.		125.	401.	242.	140.	191.	201.	44.	61.	23.		18166.4	-27438.5	-198.	HBT2_grain5_profile1_ol	71.56	 9	09/11/2014 21:18:06	
2 / 5 . 		11.		124.	411.	240.	141.	192.	201.	44.	61.	23.		18166.8	-27427.3	-198.	HBT2_grain5_profile1_ol	82.75	 10	09/11/2014 21:29:44	
2 / 6 . 		11.		124.	408.	243.	141.	192.	202.	45.	61.	23.		18167.3	-27416.1	-198.	HBT2_grain5_profile1_ol	93.94	 11	09/11/2014 21:41:21	
2 / 7 . 		11.		125.	397.	243.	141.	193.	204.	45.	61.	22.		18167.7	-27404.9	-198.	HBT2_grain5_profile1_ol	105.13	 12	09/11/2014 21:53:35	
2 / 8 . 		11.		123.	406.	241.	142.	191.	202.	44.	61.	23.		18168.2	-27393.7	-198.	HBT2_grain5_profile1_ol	116.32	 13	09/11/2014 22:05:11	
2 / 9 . 		11.		124.	410.	234.	140.	191.	201.	44.	61.	23.		18168.6	-27382.5	-198.	HBT2_grain5_profile1_ol	127.51	 14	09/11/2014 22:16:47	
2 / 10 . 		11.		123.	414.	240.	142.	191.	202.	44.	61.	23.		18169.1	-27371.4	-198.	HBT2_grain5_profile1_ol	138.7	 15	09/11/2014 22:28:23	
2 / 11 . 		11.		121.	405.	247.	142.	190.	201.	44.	61.	23.		18169.5	-27360.2	-198.	HBT2_grain5_profile1_ol	149.89	 16	09/11/2014 22:40:00	
2 / 12 . 		11.		124.	407.	247.	140.	192.	201.	44.	61.	22.		18170.	-27349.	-198.	HBT2_grain5_profile1_ol	161.08	 17	09/11/2014 22:51:35	
3 / 1 . 		10.		122.	402.	238.	139.	178.	190.	42.	59.	22.		18171.	-27312.	-198.	HBT2_grain5_profile1_ol	198.09	 18	09/11/2014 23:03:14	
3 / 2 . 		11.		123.	407.	235.	142.	188.	202.	44.	61.	23.		18171.	-27299.9	-198.	HBT2_grain5_profile1_ol	210.24	 19	09/11/2014 23:15:08	
3 / 3 . 		11.		128.	413.	243.	141.	191.	201.	44.	61.	23.		18171.	-27287.7	-198.	HBT2_grain5_profile1_ol	222.39	 20	09/11/2014 23:26:45	
3 / 4 . 		11.		123.	404.	231.	140.	186.	201.	44.	61.	23.		18171.	-27275.5	-198.	HBT2_grain5_profile1_ol	234.54	 21	09/11/2014 23:38:20	
3 / 5 . 		11.		126.	415.	232.	140.	190.	202.	44.	61.	23.		18171.	-27263.4	-198.	HBT2_grain5_profile1_ol	246.69	 22	09/11/2014 23:49:56	
3 / 6 . 		11.		124.	399.	242.	141.	192.	203.	44.	60.	23.		18171.	-27251.2	-198.	HBT2_grain5_profile1_ol	258.84	 23	10/11/2014 00:01:30	
3 / 7 . 		11.		127.	405.	243.	141.	189.	203.	44.	61.	23.		18171.	-27239.1	-198.	HBT2_grain5_profile1_ol	270.99	 24	10/11/2014 00:13:05	
3 / 8 . 		11.		126.	406.	241.	141.	190.	204.	44.	61.	22.		18171.	-27226.9	-198.	HBT2_grain5_profile1_ol	283.14	 25	10/11/2014 00:24:40	
