FileName :   HBT2_grain5.qtiDat 
Signal(s) Used :  Al Ka, P  Ka, Ti Ka, Fe Ka, Mn Ka, Cr Ka, Ni Ka, Si Ka, Mg Ka, Ca Ka, Al Ka 
Spectromers Conditions :   Sp1 LTAP,  Sp3 LPET,  Sp2 PET,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp4 TAP,  Sp4 TAP,  Sp2 PET,  Sp4 TAP 
Full Spectromers Conditions :   Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp4 TAP(2d= 25.745,K= 0.00218) 
Column Conditions :  Cond 1 : 15keV 100nA  
Date :  10-Nov-2014 
User Name :  sx 
Setup Name :  Mathews_ol_7november2014.qtiSet 
DataSet Comment :  HBT2_grain5_profile1_ol 
Comment :  HBT2_grain5 
Analysis Date :  09/11/2014 20:42:58 
Project Name :  Simon Matthews 
Sample Name :  7 November 20147 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp1(Al Ka)	1301	2654	3	2008	2194	Inte	 
  Sp3(P  Ka)	1889	1118	3	560	791	Inte	 
  Sp2(Ti Ka)	1303	904	3	1935	456	Inte	 
  Sp5(Fe Ka)	1867	445	3	1007	399	Inte	 
  Sp5(Mn Ka)	1870	445	3	1007	399	Inte	 
  Sp5(Cr Ka)	1867	445	3	1007	399	Inte	 
  Sp5(Ni Ka)	1867	445	3	1007	399	Inte	 
  Sp4(Si Ka)	1308	2697	3	2074	2433	Inte	 
  Sp4(Mg Ka)	1308	2697	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1303	904	3	1935	456	Inte	 
  Sp4(Al Ka)	1308	2697	3	2074	2433	Inte 
Peak Position :   Sp1 32475 (-500, 500),  Sp3 70318 (-700, 600),  Sp2 31429 (-350, 250),  Sp5 48090 (-250, 300),  Sp5 52214 (200, 1.0221),  Sp5 56880 (-250, 300),  Sp5 41184 (-250, 300),  Sp4 27744 (-500, 300),  Sp4 38521 (-500, 500),  Sp2 38394 (-300, 250),  Sp4 32475 (-500, 500) 
Current Sample Position :   X = 18165 Y = -27472 Z = -198 
Standard Name :   
 Al, Al On Cor 
 P  On Apatite 
 Ti On Rutile 
 Fe On Fayalite 
 Mn On Mn 
 Cr On Cr 
 Ni On NiO 
 Si, Ca On Diopside 
 Mg On Olivine (St. Johns) 
Standard composition :   
 Cor = O  : 47.1%, Al : 52.9% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Mn = Mn : 100.% 
 Cr = Cr : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
Calibration file name :   
 Al, Al : Cor_Al_Al049.calDat 
 P  : Apatite_P_P027.calDat 
 Ti : Rutile_Ti_Ti052.calDat 
 Fe : Fayalite_Fe281.calDat 
 Mn : Mn_Mn288.calDat 
 Cr : Cr_Cr287.calDat 
 Ni : NiO_Ni090.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca042.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg042.calDat 
Beam Size :  1 µm 

DataSet/Point	Na2O	Al2O3	K2O	Cr2O3	FeO	MnO	NiO	SiO2	MgO	CaO	TiO2	P2O5	Total	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	0.0392	0.0597	0.0180	0.2997	13.4473	0.2023	0.2781	40.7902	45.7447	0.3211	0.0048	0.0026	101.2078	18165.	-27510.	-198.	HBT2_grain5_profile1_sp	0.	 1	09/11/2014 20:17:01	
1 / 2 . 	0.0100	26.1403	0.0240	29.0037	20.1844	0.2198	0.1833	6.7688	19.9932	0.0647	0.5159	0.0198	103.1279	18165.	-27504.3	-198.	HBT2_grain5_profile1_sp	5.75	 2	09/11/2014 20:22:23	
1 / 3 . 	0.0177	29.2112	0.0102	33.9423	21.1544	0.1969	0.1808	0.1219	14.6157	0.0104	0.5962	0.0000	100.0574	18165.	-27498.5	-198.	HBT2_grain5_profile1_sp	11.5	 3	09/11/2014 20:27:30	
1 / 4 . 	0.0114	29.2271	0.0507	33.3526	20.8413	0.2020	0.1455	0.0977	14.6945	0.0237	0.6013	0.0184	99.2663	18165.	-27492.8	-198.	HBT2_grain5_profile1_sp	17.25	 4	09/11/2014 20:32:39	
1 / 5 . 	0.0000	29.2641	0.0000	33.7258	20.8449	0.2029	0.1664	0.0972	14.6655	0.0193	0.5833	0.0000	99.5693	18165.	-27487.	-198.	HBT2_grain5_profile1_sp	23.	 5	09/11/2014 20:37:48	
2 / 1 . 		14.5213		17.3543	16.6210	0.2037	0.2015	18.1529	28.9266	0.3576	0.3080	0.0192	96.6660	18165.	-27472.	-198.	HBT2_grain5_profile1_ol	38.	 6	09/11/2014 20:42:58	
2 / 2 . 		0.0517		0.1694	13.4751	0.2123	0.2471	40.0856	44.2304	0.3501	0.0003	0.0053	98.8273	18165.5	-27460.8	-198.	HBT2_grain5_profile1_ol	49.18	 7	09/11/2014 20:54:54	
2 / 3 . 		0.0503		0.0810	13.3271	0.2348	0.2430	40.1186	44.4335	0.3332	0.0077	0.0049	98.8340	18165.9	-27449.6	-198.	HBT2_grain5_profile1_ol	60.37	 8	09/11/2014 21:06:30	
2 / 4 . 		0.0498		0.0637	13.4790	0.2275	0.2588	40.2484	44.6221	0.3305	0.0043	0.0034	99.2877	18166.4	-27438.5	-198.	HBT2_grain5_profile1_ol	71.56	 9	09/11/2014 21:18:06	
2 / 5 . 		0.0491		0.0602	13.4213	0.2289	0.2525	40.2058	44.3822	0.3314	0.0049	0.0065	98.9429	18166.8	-27427.3	-198.	HBT2_grain5_profile1_ol	82.75	 10	09/11/2014 21:29:44	
2 / 6 . 		0.0486		0.0563	13.3933	0.2334	0.2495	40.1384	44.3497	0.3341	0.0037	0.0047	98.8116	18167.3	-27416.1	-198.	HBT2_grain5_profile1_ol	93.94	 11	09/11/2014 21:41:21	
2 / 7 . 		0.0493		0.0449	13.4188	0.2147	0.2636	40.2140	44.6214	0.3318	0.0020	0.0082	99.1686	18167.7	-27404.9	-198.	HBT2_grain5_profile1_ol	105.13	 12	09/11/2014 21:53:35	
2 / 8 . 		0.0504		0.0507	13.3809	0.2199	0.2435	40.1730	44.4210	0.3393	0.0082	0.0053	98.8923	18168.2	-27393.7	-198.	HBT2_grain5_profile1_ol	116.32	 13	09/11/2014 22:05:11	
2 / 9 . 		0.0493		0.0514	13.2058	0.2289	0.2505	40.2730	44.4524	0.3390	0.0053	0.0049	98.8606	18168.6	-27382.5	-198.	HBT2_grain5_profile1_ol	127.51	 14	09/11/2014 22:16:47	
2 / 10 . 		0.0495		0.0493	13.1821	0.2250	0.2466	40.3504	44.5948	0.3405	0.0077	0.0043	99.0502	18169.1	-27371.4	-198.	HBT2_grain5_profile1_ol	138.7	 15	09/11/2014 22:28:23	
2 / 11 . 		0.0484		0.0532	13.2752	0.2139	0.2468	40.2452	44.5527	0.3379	0.0100	0.0065	98.9897	18169.5	-27360.2	-198.	HBT2_grain5_profile1_ol	149.89	 16	09/11/2014 22:40:00	
2 / 12 . 		0.0517		0.0555	13.1702	0.2166	0.2496	40.3264	44.4870	0.3387	0.0083	0.0104	98.9143	18170.	-27349.	-198.	HBT2_grain5_profile1_ol	161.08	 17	09/11/2014 22:51:35	
