FileName :   HBT2_grain5.qtiDat 
Signal(s) Used :  Na Ka, Al Ka, K  Ka, Cr Ka, Fe Ka, Mn Ka, Ni Ka, Si Ka, Mg Ka, Ca Ka, Ti Ka, P  Ka 
Spectromers Conditions :   Sp1 LTAP,  Sp1 LTAP,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp4 TAP,  Sp4 TAP,  Sp2 PET,  Sp3 LPET,  Sp2 PET 
Full Spectromers Conditions :   Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 40nA  
Date :  10-Nov-2014 
User Name :  sx 
Setup Name :  Mathews_sp_7november2014.qtiSet 
DataSet Comment :  HBT2_grain5_profile1_sp 
Comment :  HBT2_grain5 
Analysis Date :  09/11/2014 20:17:01 
Project Name :  Simon Matthews 
Sample Name :  7 November 20147 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp1(Na Ka)	1301	2654	3	2008	2194	Inte	 
  Sp1(Al Ka)	1301	2654	3	2008	2194	Inte	 
  Sp3(K  Ka)	1892	1127	3	560	791	Inte	 
  Sp5(Cr Ka)	1867	445	3	1007	399	Inte	 
  Sp5(Fe Ka)	1867	445	3	1007	399	Inte	 
  Sp5(Mn Ka)	1870	445	3	1007	399	Inte	 
  Sp5(Ni Ka)	1867	445	3	1007	399	Inte	 
  Sp4(Si Ka)	1308	2697	3	2074	2433	Inte	 
  Sp4(Mg Ka)	1308	2697	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1303	904	3	1935	456	Inte	 
  Sp3(Ti Ka)	1889	1118	3	560	791	Inte	 
  Sp2(P  Ka)	1303	904	3	1935	456	Inte 
Peak Position :   Sp1 46384 (-600, 400),  Sp1 32475 (-500, 500),  Sp3 42757 (-300, 250),  Sp5 56880 (-250, 300),  Sp5 48090 (-250, 300),  Sp5 52214 (200, 1.0221),  Sp5 41184 (-250, 300),  Sp4 27744 (-500, 300),  Sp4 38521 (-500, 500),  Sp2 38394 (-300, 250),  Sp3 31426 (-350, 250),  Sp2 70351 (-700, 600) 
Current Sample Position :   X = 18165 Y = -27510 Z = -198 
Standard Name :   
 Na On Jad 
 Al On Cor 
 K  On KSp 
 Cr On Cr 
 Fe On Fayalite 
 Mn On Mn 
 Ni On NiO 
 Si, Ca On Diopside 
 Mg On Olivine (St. Johns) 
 Ti On Rutile 
 P  On Apatite 
Standard composition :   
 Jad = O  : 47.5%, Na : 11.3%, Al : 13.2%, Si : 27.8%, Fe : 0.2% 
 Cor = O  : 47.1%, Al : 52.9% 
 KSp = O  : 46.1%, Na : 0.8%, Al : 9.7%, Si : 30.3%, K  : 12.8%, Fe : 0.3% 
 Cr = Cr : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Mn = Mn : 100.% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
Calibration file name :   
 Na : Jad_Na_Na001.calDat 
 Al : Cor_Al_Al049.calDat 
 K  : KSp_K_K032.calDat 
 Cr : Cr_Cr287.calDat 
 Fe : Fayalite_Fe281.calDat 
 Mn : Mn_Mn288.calDat 
 Ni : NiO_Ni090.calDat 
 Si, Ca : Diopside_Si_Si_Ca_Ca042.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg042.calDat 
 Ti : Rutile_Ti_Ti052.calDat 
 P  : Apatite_P_P027.calDat 
Beam Size :  1 µm 

DataSet/Point	Na	Al	K	Cr	Fe	Mn	Ni	Si	Mg	Ca	Ti	P	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	0.0135	0.0056	0.0135	0.0500	0.5677	0.0391	0.0533	0.7577	1.5502	0.0245	0.0060	0.0125		18165.	-27510.	-198.	HBT2_grain5_profile1_sp	0.	 1	09/11/2014 20:17:01	
1 / 2 . 	0.0156	0.2925	0.0147	0.7031	0.8233	0.0413	0.0525	0.1335	0.6833	0.0150	0.0144	0.0135		18165.	-27504.3	-198.	HBT2_grain5_profile1_sp	5.75	 2	09/11/2014 20:22:23	
1 / 3 . 	0.0161	0.3263	0.0144	0.8060	0.8598	0.0423	0.0515	0.0133	0.5024	0.0138	0.0160	0.0141		18165.	-27498.5	-198.	HBT2_grain5_profile1_sp	11.5	 3	09/11/2014 20:27:30	
1 / 4 . 	0.0162	0.3265	0.0159	0.7935	0.8480	0.0424	0.0510	0.0132	0.5050	0.0136	0.0160	0.0127		18165.	-27492.8	-198.	HBT2_grain5_profile1_sp	17.25	 4	09/11/2014 20:32:39	
1 / 5 . 	0.0148	0.3269	0.0137	0.8015	0.8481	0.0417	0.0524	0.0131	0.5040	0.0136	0.0157	0.0135		18165.	-27487.	-198.	HBT2_grain5_profile1_sp	23.	 5	09/11/2014 20:37:48	
2 / 1 . 		0.0133		0.3712	0.6557	0.0256	0.0181	0.3406	0.9788	0.0158	0.0112	0.0022		18165.	-27472.	-198.	HBT2_grain5_profile1_ol	38.	 6	09/11/2014 20:42:58	
2 / 2 . 		0.0010		0.0136	0.5363	0.0248	0.0194	0.7430	1.4943	0.0155	0.0051	0.0020		18165.5	-27460.8	-198.	HBT2_grain5_profile1_ol	49.18	 7	09/11/2014 20:54:54	
2 / 3 . 		0.0010		0.0121	0.5307	0.0251	0.0192	0.7436	1.5012	0.0149	0.0051	0.0019		18165.9	-27449.6	-198.	HBT2_grain5_profile1_ol	60.37	 8	09/11/2014 21:06:30	
2 / 4 . 		0.0010		0.0117	0.5364	0.0250	0.0199	0.7460	1.5075	0.0148	0.0051	0.0019		18166.4	-27438.5	-198.	HBT2_grain5_profile1_ol	71.56	 9	09/11/2014 21:18:06	
2 / 5 . 		0.0010		0.0115	0.5342	0.0250	0.0196	0.7452	1.4995	0.0148	0.0051	0.0019		18166.8	-27427.3	-198.	HBT2_grain5_profile1_ol	82.75	 10	09/11/2014 21:29:44	
2 / 6 . 		0.0010		0.0114	0.5332	0.0253	0.0195	0.7440	1.4984	0.0149	0.0051	0.0019		18167.3	-27416.1	-198.	HBT2_grain5_profile1_ol	93.94	 11	09/11/2014 21:41:21	
2 / 7 . 		0.0010		0.0112	0.5341	0.0248	0.0201	0.7454	1.5075	0.0148	0.0051	0.0019		18167.7	-27404.9	-198.	HBT2_grain5_profile1_ol	105.13	 12	09/11/2014 21:53:35	
2 / 8 . 		0.0010		0.0112	0.5327	0.0248	0.0193	0.7446	1.5008	0.0151	0.0051	0.0019		18168.2	-27393.7	-198.	HBT2_grain5_profile1_ol	116.32	 13	09/11/2014 22:05:11	
2 / 9 . 		0.0010		0.0113	0.5261	0.0246	0.0195	0.7465	1.5018	0.0151	0.0051	0.0019		18168.6	-27382.5	-198.	HBT2_grain5_profile1_ol	127.51	 14	09/11/2014 22:16:47	
2 / 10 . 		0.0010		0.0112	0.5252	0.0249	0.0194	0.7479	1.5066	0.0151	0.0051	0.0019		18169.1	-27371.4	-198.	HBT2_grain5_profile1_ol	138.7	 15	09/11/2014 22:28:23	
2 / 11 . 		0.0010		0.0111	0.5287	0.0251	0.0194	0.7460	1.5052	0.0151	0.0051	0.0020		18169.5	-27360.2	-198.	HBT2_grain5_profile1_ol	149.89	 16	09/11/2014 22:40:00	
2 / 12 . 		0.0010		0.0114	0.5247	0.0251	0.0194	0.7475	1.5030	0.0151	0.0051	0.0020		18170.	-27349.	-198.	HBT2_grain5_profile1_ol	161.08	 17	09/11/2014 22:51:35	
3 / 1 . 		0.0010		0.0111	0.5086	0.0245	0.0189	0.6228	1.2916	0.0242	0.0049	0.0024		18171.	-27312.	-198.	HBT2_grain5_profile1_ol	198.09	 18	09/11/2014 23:03:14	
3 / 2 . 		0.0010		0.0113	0.5158	0.0245	0.0196	0.7482	1.5155	0.0150	0.0051	0.0020		18171.	-27299.9	-198.	HBT2_grain5_profile1_ol	210.24	 19	09/11/2014 23:15:08	
3 / 3 . 		0.0010		0.0115	0.5162	0.0246	0.0198	0.7472	1.5160	0.0153	0.0051	0.0020		18171.	-27287.7	-198.	HBT2_grain5_profile1_ol	222.39	 20	09/11/2014 23:26:45	
