FileName :   slide TP01_grain3.qtiDat 
Signal(s) Used :  Si Ka, Ca Ka, K  Ka, Ti Ka, Cr Ka, Mn Ka, Fe Ka, Mg Ka, Na Ka, Al Ka, Ni Ka, P  Ka 
Spectromers Conditions :   Sp4 TAP,  Sp2 PET,  Sp3 LPET,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp4 TAP,  Sp1 LTAP,  Sp1 LTAP,  Sp5 LIF,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 40nA  
Date :  27-Oct-2014 
User Name :  sx 
Setup Name :  Mathews_sp_24october2014.qtiSet 
DataSet Comment :  slide TP01_grain3_sp1 
Comment :   
Analysis Date :  25/10/2014 16:31:15 
Project Name :  Simon Matthews 
Sample Name :  23 October 2014 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Si Ka)	1319	2759	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1307	917	3	1935	456	Inte	 
  Sp3(K  Ka)	1892	1127	3	560	791	Inte	 
  Sp3(Ti Ka)	1892	1127	3	560	791	Inte	 
  Sp5(Cr Ka)	1870	445	3	1007	399	Inte	 
  Sp5(Mn Ka)	1870	445	3	1007	399	Inte	 
  Sp5(Fe Ka)	1870	445	3	1007	399	Inte	 
  Sp4(Mg Ka)	1319	2759	3	2074	2433	Inte	 
  Sp1(Na Ka)	1304	2683	3	2008	2194	Inte	 
  Sp1(Al Ka)	1304	2683	3	2008	2194	Inte	 
  Sp5(Ni Ka)	1870	445	3	1007	399	Inte	 
  Sp2(P  Ka)	1307	917	3	1935	456	Inte 
Peak Position :   Sp4 27740 (-500, 300),  Sp2 38384 (-300, 250),  Sp3 42757 (-300, 250),  Sp3 31429 (-350, 250),  Sp5 56869 (-250, 300),  Sp5 52214 (200, 1.0221),  Sp5 48080 (-250, 300),  Sp4 38519 (-500, 500),  Sp1 46380 (-600, 400),  Sp1 32475 (-500, 500),  Sp5 41191 (-250, 300),  Sp2 70348 (-700, 600) 
Current Sample Position :   X = -19569 Y = 23207 Z = 454 
Standard Name :   
 Si, Ca On Diopside 
 K  On KSp 
 Ti On Rutile 
 Cr On Cr 
 Mn On Mn 
 Fe On Fayalite 
 Mg On Olivine (St. Johns) 
 Na On Jad 
 Al On Cor 
 Ni On NiO 
 P  On Apatite 
Standard composition :   
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 KSp = O  : 46.1%, Na : 0.8%, Al : 9.7%, Si : 30.3%, K  : 12.8%, Fe : 0.3% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Mn = Mn : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Jad = O  : 47.5%, Na : 11.3%, Al : 13.2%, Si : 27.8%, Fe : 0.2% 
 Cor = O  : 47.1%, Al : 52.9% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
Calibration file name :   
 Si, Ca : Diopside_Si_Si_Ca_Ca041.calDat 
 K  : KSp_K_K032.calDat 
 Ti : Rutile_Ti_Ti051.calDat 
 Cr : Cr_Cr286.calDat 
 Mn : Mn_Mn288.calDat 
 Fe : Fayalite_Fe280.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg041.calDat 
 Na : Jad_Na307.calDat 
 Al : Cor_Al_Al048.calDat 
 Ni : NiO_Ni089.calDat 
 P  : Apatite_P_P026.calDat 
Beam Size :  1 µm 

DataSet/Point	SiO2	CaO	K2O	TiO2	Cr2O3	MnO	FeO	MgO	Na2O	Al2O3	NiO	P2O5	Total	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	0.1271	0.0215	0.0000	0.2314	35.4204	0.1900	14.8964	15.4430	0.0087	30.7010	0.2384	0.0199	97.2980	-19569.	23207.	454.	slide TP01_grain3_sp1	0.	 1	25/10/2014 16:31:15	
1 / 2 . 	0.0945	0.0233	0.0000	0.2376	35.6003	0.1390	14.5550	15.5187	0.0059	30.6673	0.2151	0.0132	97.0698	-19576.1	23206.3	454.	slide TP01_grain3_sp1	7.18	 2	25/10/2014 16:36:28	
1 / 3 . 	0.1009	0.0235	0.0032	0.2229	35.1977	0.1873	14.9385	15.7832	0.0048	30.4063	0.2373	0.0069	97.1123	-19583.3	23205.6	454.	slide TP01_grain3_sp1	14.36	 3	25/10/2014 16:41:29	
1 / 4 . 	0.1355	0.0235	0.0041	0.2289	35.2881	0.1714	14.9238	15.7885	0.0071	30.3737	0.1972	0.0181	97.1600	-19590.4	23204.9	454.	slide TP01_grain3_sp1	21.53	 4	25/10/2014 16:46:30	
1 / 5 . 	0.1082	0.0129	0.0044	0.2274	35.4967	0.1436	14.7333	15.9802	0.0042	30.6067	0.2159	0.0190	97.5524	-19597.6	23204.1	454.	slide TP01_grain3_sp1	28.71	 5	25/10/2014 16:51:32	
1 / 6 . 	0.1252	0.0154	0.0018	0.2205	35.1899	0.1786	14.9813	16.0062	0.0057	30.6706	0.2556	0.0024	97.6531	-19604.7	23203.4	454.	slide TP01_grain3_sp1	35.89	 6	25/10/2014 16:56:37	
1 / 7 . 	0.1217	0.0089	0.0008	0.2266	34.8493	0.1927	15.1203	15.9552	0.0000	30.3731	0.2090	0.0000	97.0576	-19611.9	23202.7	454.	slide TP01_grain3_sp1	43.07	 7	25/10/2014 17:01:40	
1 / 8 . 	0.1760	0.0170	0.0049	0.2215	35.1045	0.1708	15.0535	16.0245	0.0000	30.2306	0.2567	0.0000	97.2600	-19619.	23202.	454.	slide TP01_grain3_sp1	50.25	 8	25/10/2014 17:06:41	
2 / 1 . 	40.4409	0.3379		0.0028	0.2026	0.1784	10.1330	47.2554		0.0742	0.3361	0.0127	98.9742	-19634.	23202.	454.	slide TP01_grain3_sp1	65.19	 9	25/10/2014 17:11:45	
2 / 2 . 	39.7090	0.3387		0.0025	0.1473	0.1745	10.1058	46.9773		0.0735	0.3438	0.0140	97.8864	-19643.8	23201.6	454.	slide TP01_grain3_sp1	74.95	 10	25/10/2014 17:22:56	
2 / 3 . 	39.6835	0.3477		0.0000	0.1375	0.1683	10.0725	46.8347		0.0749	0.3522	0.0123	97.6836	-19653.5	23201.1	454.	slide TP01_grain3_sp1	84.7	 11	25/10/2014 17:33:41	
2 / 4 . 	39.6233	0.3420		0.0000	0.1182	0.1860	10.1073	46.7160		0.0729	0.3298	0.0127	97.5083	-19663.3	23200.7	454.	slide TP01_grain3_sp1	94.46	 12	25/10/2014 17:44:25	
2 / 5 . 	40.1847	0.3529		0.0077	0.1035	0.1816	10.0344	46.6921		0.0734	0.3368	0.0099	97.9770	-19673.	23200.3	454.	slide TP01_grain3_sp1	104.22	 13	25/10/2014 17:55:08	
2 / 6 . 	39.6665	0.3513		0.0074	0.0932	0.1772	10.1073	46.8611		0.0736	0.3315	0.0123	97.6815	-19682.8	23199.8	454.	slide TP01_grain3_sp1	113.98	 14	25/10/2014 18:05:52	
2 / 7 . 	40.0236	0.3539		0.0048	0.0919	0.1821	10.1161	46.8756		0.0737	0.3281	0.0132	98.0630	-19692.5	23199.4	454.	slide TP01_grain3_sp1	123.74	 15	25/10/2014 18:16:35	
2 / 8 . 	39.6891	0.3570		0.0002	0.0921	0.1713	10.0966	46.8674		0.0746	0.3361	0.0139	97.6984	-19702.3	23198.9	454.	slide TP01_grain3_sp1	133.49	 16	25/10/2014 18:27:20	
2 / 9 . 	39.6459	0.3564		0.0029	0.0878	0.1744	10.0910	46.9051		0.0809	0.3255	0.0114	97.6814	-19712.	23198.5	454.	slide TP01_grain3_sp1	143.25	 17	25/10/2014 18:38:03	
2 / 10 . 	39.5783	0.3579		0.0057	0.0866	0.1646	10.0279	46.8799		0.0880	0.3311	0.0133	97.5334	-19721.8	23198.1	454.	slide TP01_grain3_sp1	153.01	 18	25/10/2014 18:48:47	
2 / 11 . 	39.6700	0.3599		0.0000	0.0858	0.1738	10.0863	46.8748		0.0864	0.3338	0.0132	97.6840	-19731.5	23197.6	454.	slide TP01_grain3_sp1	162.77	 19	25/10/2014 18:59:31	
