FileName :   slide TP01_grain3.qtiDat 
Signal(s) Used :  Si Ka, Ca Ka, K  Ka, Ti Ka, Cr Ka, Mn Ka, Fe Ka, Mg Ka, Na Ka, Al Ka, Ni Ka, P  Ka 
Spectromers Conditions :   Sp4 TAP,  Sp2 PET,  Sp3 LPET,  Sp3 LPET,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp4 TAP,  Sp1 LTAP,  Sp1 LTAP,  Sp5 LIF,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 40nA  
Date :  27-Oct-2014 
User Name :  sx 
Setup Name :  Mathews_sp_24october2014.qtiSet 
DataSet Comment :  slide TP01_grain3_sp1 
Comment :   
Analysis Date :  25/10/2014 16:31:15 
Project Name :  Simon Matthews 
Sample Name :  23 October 2014 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Si Ka)	1319	2759	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1307	917	3	1935	456	Inte	 
  Sp3(K  Ka)	1892	1127	3	560	791	Inte	 
  Sp3(Ti Ka)	1892	1127	3	560	791	Inte	 
  Sp5(Cr Ka)	1870	445	3	1007	399	Inte	 
  Sp5(Mn Ka)	1870	445	3	1007	399	Inte	 
  Sp5(Fe Ka)	1870	445	3	1007	399	Inte	 
  Sp4(Mg Ka)	1319	2759	3	2074	2433	Inte	 
  Sp1(Na Ka)	1304	2683	3	2008	2194	Inte	 
  Sp1(Al Ka)	1304	2683	3	2008	2194	Inte	 
  Sp5(Ni Ka)	1870	445	3	1007	399	Inte	 
  Sp2(P  Ka)	1307	917	3	1935	456	Inte 
Peak Position :   Sp4 27740 (-500, 300),  Sp2 38384 (-300, 250),  Sp3 42757 (-300, 250),  Sp3 31429 (-350, 250),  Sp5 56869 (-250, 300),  Sp5 52214 (200, 1.0221),  Sp5 48080 (-250, 300),  Sp4 38519 (-500, 500),  Sp1 46380 (-600, 400),  Sp1 32475 (-500, 500),  Sp5 41191 (-250, 300),  Sp2 70348 (-700, 600) 
Current Sample Position :   X = -19569 Y = 23207 Z = 454 
Standard Name :   
 Si, Ca On Diopside 
 K  On KSp 
 Ti On Rutile 
 Cr On Cr 
 Mn On Mn 
 Fe On Fayalite 
 Mg On Olivine (St. Johns) 
 Na On Jad 
 Al On Cor 
 Ni On NiO 
 P  On Apatite 
Standard composition :   
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 KSp = O  : 46.1%, Na : 0.8%, Al : 9.7%, Si : 30.3%, K  : 12.8%, Fe : 0.3% 
 Rutile = Ti : 59.95%, O  : 40.05% 
 Cr = Cr : 100.% 
 Mn = Mn : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Jad = O  : 47.5%, Na : 11.3%, Al : 13.2%, Si : 27.8%, Fe : 0.2% 
 Cor = O  : 47.1%, Al : 52.9% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
Calibration file name :   
 Si, Ca : Diopside_Si_Si_Ca_Ca041.calDat 
 K  : KSp_K_K032.calDat 
 Ti : Rutile_Ti_Ti051.calDat 
 Cr : Cr_Cr286.calDat 
 Mn : Mn_Mn288.calDat 
 Fe : Fayalite_Fe280.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg041.calDat 
 Na : Jad_Na307.calDat 
 Al : Cor_Al_Al048.calDat 
 Ni : NiO_Ni089.calDat 
 P  : Apatite_P_P026.calDat 
Beam Size :  1 µm 

DataSet/Point	Si	Ca	K	Ti	Cr	Mn	Fe	Mg	Na	Al	Ni	P	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	0.0136	0.0139	0.0138	0.0091	1.1233	0.0413	0.3750	0.2869	0.0146	0.3184	0.0530	0.0127		-19569.	23207.	454.	slide TP01_grain3_sp1	0.	 1	25/10/2014 16:31:15	
1 / 2 . 	0.0132	0.0137	0.0139	0.0092	1.1288	0.0410	0.3684	0.2882	0.0145	0.3181	0.0520	0.0134		-19576.1	23206.3	454.	slide TP01_grain3_sp1	7.18	 2	25/10/2014 16:36:28	
1 / 3 . 	0.0132	0.0136	0.0138	0.0090	1.1167	0.0410	0.3760	0.2929	0.0143	0.3154	0.0538	0.0128		-19583.3	23205.6	454.	slide TP01_grain3_sp1	14.36	 3	25/10/2014 16:41:29	
1 / 4 . 	0.0136	0.0137	0.0135	0.0091	1.1193	0.0406	0.3753	0.2930	0.0147	0.3151	0.0523	0.0139		-19590.4	23204.9	454.	slide TP01_grain3_sp1	21.53	 4	25/10/2014 16:46:30	
1 / 5 . 	0.0133	0.0135	0.0138	0.0091	1.1259	0.0410	0.3717	0.2964	0.0141	0.3175	0.0528	0.0127		-19597.6	23204.1	454.	slide TP01_grain3_sp1	28.71	 5	25/10/2014 16:51:32	
1 / 6 . 	0.0134	0.0134	0.0138	0.0090	1.1164	0.0406	0.3765	0.2969	0.0144	0.3181	0.0531	0.0135		-19604.7	23203.4	454.	slide TP01_grain3_sp1	35.89	 6	25/10/2014 16:56:37	
1 / 7 . 	0.0134	0.0134	0.0140	0.0090	1.1064	0.0397	0.3787	0.2960	0.0142	0.3151	0.0522	0.0132		-19611.9	23202.7	454.	slide TP01_grain3_sp1	43.07	 7	25/10/2014 17:01:40	
1 / 8 . 	0.0145	0.0137	0.0135	0.0089	1.1138	0.0412	0.3774	0.2972	0.0146	0.3136	0.0533	0.0136		-19619.	23202.	454.	slide TP01_grain3_sp1	50.25	 8	25/10/2014 17:06:41	
2 / 1 . 	0.8812	0.0132		0.0050	0.0149	0.0231	0.2321	0.8482		0.0014	0.0239	0.0020		-19634.	23202.	454.	slide TP01_grain3_sp1	65.19	 9	25/10/2014 17:11:45	
2 / 2 . 	0.8654	0.0133		0.0050	0.0136	0.0234	0.2316	0.8433		0.0014	0.0241	0.0020		-19643.8	23201.6	454.	slide TP01_grain3_sp1	74.95	 10	25/10/2014 17:22:56	
2 / 3 . 	0.8648	0.0136		0.0050	0.0133	0.0233	0.2308	0.8407		0.0014	0.0241	0.0020		-19653.5	23201.1	454.	slide TP01_grain3_sp1	84.7	 11	25/10/2014 17:33:41	
2 / 4 . 	0.8635	0.0134		0.0050	0.0128	0.0234	0.2315	0.8386		0.0014	0.0236	0.0020		-19663.3	23200.7	454.	slide TP01_grain3_sp1	94.46	 12	25/10/2014 17:44:25	
2 / 5 . 	0.8757	0.0137		0.0050	0.0124	0.0236	0.2302	0.8382		0.0014	0.0240	0.0020		-19673.	23200.3	454.	slide TP01_grain3_sp1	104.22	 13	25/10/2014 17:55:08	
2 / 6 . 	0.8644	0.0137		0.0050	0.0123	0.0234	0.2315	0.8412		0.0014	0.0236	0.0020		-19682.8	23199.8	454.	slide TP01_grain3_sp1	113.98	 14	25/10/2014 18:05:52	
2 / 7 . 	0.8722	0.0138		0.0050	0.0122	0.0234	0.2317	0.8415		0.0014	0.0236	0.0020		-19692.5	23199.4	454.	slide TP01_grain3_sp1	123.74	 15	25/10/2014 18:16:35	
2 / 8 . 	0.8649	0.0139		0.0050	0.0120	0.0233	0.2313	0.8413		0.0014	0.0239	0.0020		-19702.3	23198.9	454.	slide TP01_grain3_sp1	133.49	 16	25/10/2014 18:27:20	
2 / 9 . 	0.8640	0.0139		0.0050	0.0122	0.0236	0.2312	0.8420		0.0014	0.0236	0.0020		-19712.	23198.5	454.	slide TP01_grain3_sp1	143.25	 17	25/10/2014 18:38:03	
2 / 10 . 	0.8625	0.0139		0.0050	0.0120	0.0233	0.2299	0.8415		0.0015	0.0238	0.0020		-19721.8	23198.1	454.	slide TP01_grain3_sp1	153.01	 18	25/10/2014 18:48:47	
2 / 11 . 	0.8645	0.0140		0.0050	0.0120	0.0233	0.2311	0.8414		0.0015	0.0236	0.0020		-19731.5	23197.6	454.	slide TP01_grain3_sp1	162.77	 19	25/10/2014 18:59:31	
2 / 12 . 	0.8704	0.0141		0.0050	0.0123	0.0230	0.2298	0.8420		0.0015	0.0234	0.0020		-19741.3	23197.2	454.	slide TP01_grain3_sp1	172.53	 20	25/10/2014 19:10:15	
2 / 13 . 	0.8686	0.0142		0.0050	0.0119	0.0233	0.2287	0.8428		0.0015	0.0232	0.0020		-19751.	23196.8	454.	slide TP01_grain3_sp1	182.29	 21	25/10/2014 19:20:57	
2 / 14 . 	0.8653	0.0153		0.0050	0.0120	0.0231	0.2268	0.8355		0.0021	0.0232	0.0021		-19760.8	23196.3	454.	slide TP01_grain3_sp1	192.05	 22	25/10/2014 19:31:40	
2 / 15 . 	0.5957	0.0151		0.0045	0.0104	0.0202	0.1694	0.5604		0.0141	0.0186	0.0025		-19770.5	23195.9	454.	slide TP01_grain3_sp1	201.81	 23	25/10/2014 19:42:22	
2 / 16 . 	0.8696	0.0146		0.0050	0.0119	0.0238	0.2511	0.8266		0.0014	0.0226	0.0020		-19780.3	23195.4	454.	slide TP01_grain3_sp1	211.57	 24	25/10/2014 19:53:06	
2 / 17 . 	0.8564	0.0146		0.0051	0.0117	0.0246	0.2868	0.8032		0.0013	0.0224	0.0020		-19790.	23195.	454.	slide TP01_grain3_sp1	221.33	 25	25/10/2014 20:03:50	
3 / 1 . 	0.0133	0.0134	0.0137	0.0088	1.1046	0.0407	0.3771	0.2893	0.0147	0.3098	0.0535	0.0135		-19345.	23052.	454.	slide TP01_grain3_sp2	272.4	 26	25/10/2014 20:14:36	
3 / 2 . 	0.0132	0.0134	0.0138	0.0089	1.1075	0.0409	0.3745	0.2914	0.0143	0.3135	0.0531	0.0136		-19339.3	23047.	454.3	slide TP01_grain3_sp2	279.97	 27	25/10/2014 20:19:49	
3 / 3 . 	0.0133	0.0133	0.0137	0.0088	1.1138	0.0404	0.3682	0.2915	0.0145	0.3174	0.0530	0.0134		-19333.5	23042.	454.5	slide TP01_grain3_sp2	287.55	 28	25/10/2014 20:24:51	
3 / 4 . 	0.0133	0.0138	0.0141	0.0090	1.0977	0.0402	0.3698	0.2906	0.0145	0.3186	0.0536	0.0133		-19327.8	23037.	454.8	slide TP01_grain3_sp2	295.13	 29	25/10/2014 20:29:53	
3 / 5 . 	0.0133	0.0137	0.0138	0.0088	1.1065	0.0406	0.3761	0.2901	0.0145	0.3162	0.0537	0.0128		-19322.	23032.	455.	slide TP01_grain3_sp2	302.71	 30	25/10/2014 20:34:55	
4 / 1 . 	0.8016	0.0262		0.0053	0.1062	0.0238	0.2334	0.7713		0.0350	0.0236	0.0020		-19307.	23026.	455.	slide TP01_grain3_sp2	318.44	 31	25/10/2014 20:40:01	
4 / 2 . 	0.8502	0.0130		0.0050	0.0151	0.0229	0.2284	0.8280		0.0014	0.0240	0.0020		-19298.2	23020.8	455.	slide TP01_grain3_sp2	328.67	 32	25/10/2014 20:51:11	
4 / 3 . 	0.8630	0.0131		0.0050	0.0135	0.0231	0.2301	0.8258		0.0014	0.0238	0.0020		-19289.4	23015.5	455.	slide TP01_grain3_sp2	338.9	 33	25/10/2014 21:01:56	
4 / 4 . 	0.8455	0.0132		0.0050	0.0129	0.0238	0.2318	0.8292		0.0014	0.0239	0.0020		-19280.5	23010.3	455.	slide TP01_grain3_sp2	349.13	 34	25/10/2014 21:12:41	
4 / 5 . 	0.8434	0.0134		0.0050	0.0127	0.0232	0.2304	0.8285		0.0014	0.0237	0.0020		-19271.7	23005.1	455.	slide TP01_grain3_sp2	359.36	 35	25/10/2014 21:23:24	
4 / 6 . 	0.8363	0.0134		0.0050	0.0121	0.0231	0.2294	0.8287		0.0014	0.0242	0.0020		-19262.9	22999.9	455.	slide TP01_grain3_sp2	369.59	 36	25/10/2014 21:34:09	
4 / 7 . 	0.8426	0.0136		0.0050	0.0122	0.0233	0.2302	0.8298		0.0014	0.0236	0.0020		-19254.1	22994.6	455.	slide TP01_grain3_sp2	379.82	 37	25/10/2014 21:44:52	
4 / 8 . 	0.8549	0.0136		0.0050	0.0119	0.0233	0.2297	0.8252		0.0014	0.0235	0.0020		-19245.3	22989.4	455.	slide TP01_grain3_sp2	390.06	 38	25/10/2014 21:55:35	
