FileName :   TP02_grain2.qtiDat 
Signal(s) Used :  Si Ka, Ca Ka, Cr Ka, Mn Ka, Fe Ka, Mg Ka, Al Ka, Ni Ka, P  Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp2 PET,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp4 TAP,  Sp1 LTAP,  Sp5 LIF,  Sp3 LPET,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 100nA  
Date :  24-Oct-2014 
User Name :  sx 
Setup Name :  Mathews_ol_24october2014.qtiSet 
DataSet Comment :  TP02_grain2_line1_ol 
Comment :   
Analysis Date :  24/10/2014 07:44:57 
Project Name :  Simon Matthews 
Sample Name :  23 October 2014 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Si Ka)	1319	2759	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1307	917	3	1935	456	Inte	 
  Sp5(Cr Ka)	1870	445	3	1007	399	Inte	 
  Sp5(Mn Ka)	1870	445	3	1007	399	Inte	 
  Sp5(Fe Ka)	1870	445	3	1007	399	Inte	 
  Sp4(Mg Ka)	1319	2759	3	2074	2433	Inte	 
  Sp1(Al Ka)	1304	2683	3	2008	2194	Inte	 
  Sp5(Ni Ka)	1870	445	3	1007	399	Inte	 
  Sp3(P  Ka)	1892	1127	3	560	791	Inte	 
  Sp2(Ti Ka)	1307	917	3	1935	456	Inte 
Peak Position :   Sp4 27740 (-500, 300),  Sp2 38384 (-300, 250),  Sp5 56869 (-250, 300),  Sp5 52214 (200, 1.0221),  Sp5 48080 (-250, 300),  Sp4 38519 (-500, 500),  Sp1 32475 (-500, 500),  Sp5 41191 (-250, 300),  Sp3 70321 (-700, 600),  Sp2 31418 (-350, 250) 
Current Sample Position :   X = -11566.54 Y = -33697.69 Z = 542 
Standard Name :   
 Si, Ca On Diopside 
 Cr On Cr 
 Mn On Mn 
 Fe On Fayalite 
 Mg On Olivine (St. Johns) 
 Al On Cor 
 Ni On NiO 
 P  On Apatite 
 Ti On Rutile 
Standard composition :   
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cr = Cr : 100.% 
 Mn = Mn : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Cor = O  : 47.1%, Al : 52.9% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Si, Ca : Diopside_Si_Si_Ca_Ca041.calDat 
 Cr : Cr_Cr286.calDat 
 Mn : Mn_Mn288.calDat 
 Fe : Fayalite_Fe280.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg041.calDat 
 Al : Cor_Al_Al048.calDat 
 Ni : NiO_Ni089.calDat 
 P  : Apatite_P_P026.calDat 
 Ti : Rutile_Ti_Ti051.calDat 
Beam Size :  1 µm 

DataSet/Point	SiO2	CaO	K2O	TiO2	Cr2O3	MnO	FeO	MgO	Na2O	Al2O3	NiO	P2O5	Total	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	0.0994	0.0170	0.0023	0.1814	31.5717	0.1809	15.2884	16.8928	0.0015	33.9148	0.2325	0.0090	98.3917	-11771.	-33536.	542.	TP02_grain2_line1_sp_whole grain	0.	 1	24/10/2014 03:40:08	
1 / 2 . 	0.0950	0.0283	0.0008	0.1885	31.4451	0.1814	14.9223	16.9887	0.0073	33.6113	0.1952	0.0135	97.6774	-11765.4	-33540.4	542.	TP02_grain2_line1_sp_whole grain	7.12	 2	24/10/2014 03:45:21	
1 / 3 . 	0.1105	0.0222	0.0000	0.1898	32.0040	0.1509	15.0937	17.0815	0.0031	33.5480	0.2169	0.0050	98.4258	-11759.9	-33544.9	542.	TP02_grain2_line1_sp_whole grain	14.23	 3	24/10/2014 03:50:23	
1 / 4 . 	0.0951	0.0198	0.0000	0.1833	31.8857	0.1884	14.5953	17.1023	0.0005	33.6017	0.2101	0.0215	97.9037	-11754.3	-33549.3	542.	TP02_grain2_line1_sp_whole grain	21.35	 4	24/10/2014 03:55:23	
1 / 5 . 	0.0921	0.0084	0.0072	0.1800	31.6985	0.1398	14.8254	17.0031	0.0033	33.6080	0.1998	0.0025	97.7681	-11748.7	-33553.7	542.	TP02_grain2_line1_sp_whole grain	28.47	 5	24/10/2014 04:00:24	
1 / 6 . 	0.0910	0.0222	0.0000	0.1795	31.7775	0.1777	15.0230	16.9688	0.0024	33.7616	0.2597	0.0158	98.2792	-11743.1	-33558.1	542.	TP02_grain2_line1_sp_whole grain	35.59	 6	24/10/2014 04:05:27	
1 / 7 . 	0.1065	0.0368	0.0000	0.1812	31.3072	0.1590	15.0912	16.7924	0.0087	34.0170	0.2416	0.0200	97.9614	-11737.6	-33562.6	542.	TP02_grain2_line1_sp_whole grain	42.7	 7	24/10/2014 04:10:30	
1 / 8 . 	0.1099	0.0308	0.0013	0.1978	31.2704	0.1731	15.3072	16.4444	0.0019	34.6769	0.2314	0.0211	98.4661	-11732.	-33567.	542.	TP02_grain2_line1_sp_whole grain	49.82	 8	24/10/2014 04:15:31	
2 / 1 . 	29.3307	0.2798		0.0660	10.0476	0.1953	11.9916	38.5044		11.4257	0.2722	0.0129	102.1261	-11720.	-33572.	542.	TP02_grain2_line1_ol	62.43	 9	24/10/2014 04:20:37	
2 / 2 . 	40.5434	0.3764		0.0001	0.2517	0.1823	10.7618	46.9241		0.0697	0.2911	0.0133	99.4139	-11711.9	-33578.6	542.	TP02_grain2_line1_ol	72.84	 10	24/10/2014 04:31:47	
2 / 3 . 	40.4255	0.3721		0.0000	0.1598	0.1919	10.6422	46.8219		0.0694	0.2998	0.0140	98.9968	-11703.9	-33585.2	542.	TP02_grain2_line1_ol	83.27	 11	24/10/2014 04:42:31	
2 / 4 . 	40.6358	0.3708		0.0009	0.1232	0.1782	10.6899	47.0933		0.0699	0.3168	0.0132	99.4920	-11695.8	-33591.9	542.	TP02_grain2_line1_ol	93.69	 12	24/10/2014 04:53:14	
2 / 5 . 	40.8249	0.3771		0.0017	0.1002	0.2095	10.7353	46.8133		0.0718	0.2805	0.0128	99.4271	-11687.7	-33598.5	542.	TP02_grain2_line1_ol	104.12	 13	24/10/2014 05:03:59	
2 / 6 . 	40.6400	0.3795		0.0035	0.0818	0.1818	10.7749	46.8888		0.0723	0.3049	0.0154	99.3430	-11679.6	-33605.1	542.	TP02_grain2_line1_ol	114.56	 14	24/10/2014 05:14:42	
2 / 7 . 	40.7837	0.3753		0.0000	0.0804	0.1847	10.8420	46.7357		0.0750	0.3022	0.0136	99.3926	-11671.5	-33611.7	542.	TP02_grain2_line1_ol	124.99	 15	24/10/2014 05:25:28	
2 / 8 . 	40.3164	0.3720		0.0080	0.0757	0.1923	10.8998	46.7807		0.0721	0.2978	0.0157	99.0305	-11663.5	-33618.3	542.	TP02_grain2_line1_ol	135.42	 16	24/10/2014 05:36:13	
