FileName :   TP02_grain2.qtiDat 
Signal(s) Used :  Si Ka, Ca Ka, Cr Ka, Mn Ka, Fe Ka, Mg Ka, Al Ka, Ni Ka, P  Ka, Ti Ka 
Spectromers Conditions :   Sp4 TAP,  Sp2 PET,  Sp5 LIF,  Sp5 LIF,  Sp5 LIF,  Sp4 TAP,  Sp1 LTAP,  Sp5 LIF,  Sp3 LPET,  Sp2 PET 
Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp2 PET(2d= 8.75,K= 0.000144),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 LTAP(2d= 25.745,K= 0.00218),  Sp5 LIF(2d= 4.0267,K= 0.000058),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp2 PET(2d= 8.75,K= 0.000144) 
Column Conditions :  Cond 1 : 15keV 100nA  
Date :  24-Oct-2014 
User Name :  sx 
Setup Name :  Mathews_ol_24october2014.qtiSet 
DataSet Comment :  TP02_grain2_line1_ol 
Comment :   
Analysis Date :  24/10/2014 07:44:57 
Project Name :  Simon Matthews 
Sample Name :  23 October 2014 
Pha Parameters :  	 
 		Bias	Gain	Dtime	Blin	Wind	Mode	 
  Sp4(Si Ka)	1319	2759	3	2074	2433	Inte	 
  Sp2(Ca Ka)	1307	917	3	1935	456	Inte	 
  Sp5(Cr Ka)	1870	445	3	1007	399	Inte	 
  Sp5(Mn Ka)	1870	445	3	1007	399	Inte	 
  Sp5(Fe Ka)	1870	445	3	1007	399	Inte	 
  Sp4(Mg Ka)	1319	2759	3	2074	2433	Inte	 
  Sp1(Al Ka)	1304	2683	3	2008	2194	Inte	 
  Sp5(Ni Ka)	1870	445	3	1007	399	Inte	 
  Sp3(P  Ka)	1892	1127	3	560	791	Inte	 
  Sp2(Ti Ka)	1307	917	3	1935	456	Inte 
Peak Position :   Sp4 27740 (-500, 300),  Sp2 38384 (-300, 250),  Sp5 56869 (-250, 300),  Sp5 52214 (200, 1.0221),  Sp5 48080 (-250, 300),  Sp4 38519 (-500, 500),  Sp1 32475 (-500, 500),  Sp5 41191 (-250, 300),  Sp3 70321 (-700, 600),  Sp2 31418 (-350, 250) 
Current Sample Position :   X = -11566.54 Y = -33697.69 Z = 542 
Standard Name :   
 Si, Ca On Diopside 
 Cr On Cr 
 Mn On Mn 
 Fe On Fayalite 
 Mg On Olivine (St. Johns) 
 Al On Cor 
 Ni On NiO 
 P  On Apatite 
 Ti On Rutile 
Standard composition :   
 Diopside = O  : 44.5%, Mg : 11.2%, Si : 25.9%, Ca : 18.4% 
 Cr = Cr : 100.% 
 Mn = Mn : 100.% 
 Fayalite = O  : 31.405%, Si : 13.783%, Fe : 54.812% 
 Olivine (St. Johns) = O  : 43.4%, Mg : 29.7%, Si : 19.1%, Mn : 0.1%, Fe : 7.4%, Ni : 0.3% 
 Cor = O  : 47.1%, Al : 52.9% 
 NiO = Ni : 78.5839%, O  : 21.4161% 
 Apatite = O  : 38.1%, F  : 3.4%, P  : 18.4%, Cl : 0.4%, Ca : 39.7% 
 Rutile = Ti : 59.95%, O  : 40.05% 
Calibration file name :   
 Si, Ca : Diopside_Si_Si_Ca_Ca041.calDat 
 Cr : Cr_Cr286.calDat 
 Mn : Mn_Mn288.calDat 
 Fe : Fayalite_Fe280.calDat 
 Mg : Olivine (St. Johns)_Mg_Mg041.calDat 
 Al : Cor_Al_Al048.calDat 
 Ni : NiO_Ni089.calDat 
 P  : Apatite_P_P026.calDat 
 Ti : Rutile_Ti_Ti051.calDat 
Beam Size :  1 µm 

DataSet/Point	Si	Ca	K	Ti	Cr	Mn	Fe	Mg	Na	Al	Ni	P	O	X	Y	Z	Comment	Distance (µ)	Point#	Date	
1 / 1 . 	0.0131	0.0137	0.0138	0.0083	1.0102	0.0412	0.3837	0.3127	0.0143	0.3514	0.0523	0.0135		-11771.	-33536.	542.	TP02_grain2_line1_sp_whole grain	0.	 1	24/10/2014 03:40:08	
1 / 2 . 	0.0132	0.0142	0.0137	0.0083	1.0066	0.0395	0.3771	0.3144	0.0142	0.3483	0.0527	0.0144		-11765.4	-33540.4	542.	TP02_grain2_line1_sp_whole grain	7.12	 2	24/10/2014 03:45:21	
1 / 3 . 	0.0132	0.0138	0.0140	0.0084	1.0229	0.0415	0.3799	0.3161	0.0144	0.3476	0.0518	0.0138		-11759.9	-33544.9	542.	TP02_grain2_line1_sp_whole grain	14.23	 3	24/10/2014 03:50:23	
1 / 4 . 	0.0130	0.0140	0.0141	0.0083	1.0198	0.0400	0.3705	0.3164	0.0143	0.3482	0.0516	0.0143		-11754.3	-33549.3	542.	TP02_grain2_line1_sp_whole grain	21.35	 4	24/10/2014 03:55:23	
1 / 5 . 	0.0130	0.0139	0.0141	0.0083	1.0139	0.0408	0.3750	0.3147	0.0144	0.3482	0.0512	0.0126		-11748.7	-33553.7	542.	TP02_grain2_line1_sp_whole grain	28.47	 5	24/10/2014 04:00:24	
1 / 6 . 	0.0130	0.0143	0.0139	0.0083	1.0166	0.0406	0.3790	0.3141	0.0145	0.3498	0.0533	0.0135		-11743.1	-33558.1	542.	TP02_grain2_line1_sp_whole grain	35.59	 6	24/10/2014 04:05:27	
1 / 7 . 	0.0132	0.0142	0.0135	0.0083	1.0022	0.0402	0.3799	0.3109	0.0141	0.3524	0.0523	0.0137		-11737.6	-33562.6	542.	TP02_grain2_line1_sp_whole grain	42.7	 7	24/10/2014 04:10:30	
1 / 8 . 	0.0134	0.0143	0.0138	0.0085	1.0012	0.0403	0.3842	0.3047	0.0146	0.3592	0.0522	0.0136		-11732.	-33567.	542.	TP02_grain2_line1_sp_whole grain	49.82	 8	24/10/2014 04:15:31	
2 / 1 . 	0.6410	0.0113		0.0056	0.3056	0.0253	0.2676	0.6927		0.1171	0.0221	0.0021		-11720.	-33572.	542.	TP02_grain2_line1_ol	62.43	 9	24/10/2014 04:20:37	
2 / 2 . 	0.8835	0.0146		0.0051	0.0164	0.0241	0.2446	0.8425		0.0013	0.0225	0.0020		-11711.9	-33578.6	542.	TP02_grain2_line1_ol	72.84	 10	24/10/2014 04:31:47	
2 / 3 . 	0.8810	0.0144		0.0050	0.0139	0.0238	0.2424	0.8406		0.0013	0.0227	0.0020		-11703.9	-33585.2	542.	TP02_grain2_line1_ol	83.27	 11	24/10/2014 04:42:31	
2 / 4 . 	0.8855	0.0144		0.0051	0.0131	0.0237	0.2433	0.8455		0.0013	0.0232	0.0020		-11695.8	-33591.9	542.	TP02_grain2_line1_ol	93.69	 12	24/10/2014 04:53:14	
2 / 5 . 	0.8896	0.0146		0.0051	0.0125	0.0240	0.2442	0.8405		0.0014	0.0224	0.0020		-11687.7	-33598.5	542.	TP02_grain2_line1_ol	104.12	 13	24/10/2014 05:03:59	
2 / 6 . 	0.8856	0.0147		0.0051	0.0123	0.0240	0.2449	0.8418		0.0014	0.0228	0.0021		-11679.6	-33605.1	542.	TP02_grain2_line1_ol	114.56	 14	24/10/2014 05:14:42	
2 / 7 . 	0.8887	0.0145		0.0051	0.0120	0.0241	0.2461	0.8391		0.0014	0.0229	0.0020		-11671.5	-33611.7	542.	TP02_grain2_line1_ol	124.99	 15	24/10/2014 05:25:28	
2 / 8 . 	0.8786	0.0144		0.0051	0.0118	0.0241	0.2471	0.8399		0.0014	0.0227	0.0020		-11663.5	-33618.3	542.	TP02_grain2_line1_ol	135.42	 16	24/10/2014 05:36:13	
2 / 9 . 	0.8790	0.0146		0.0051	0.0119	0.0238	0.2445	0.8399		0.0014	0.0228	0.0021		-11655.4	-33624.9	542.	TP02_grain2_line1_ol	145.86	 17	24/10/2014 05:46:56	
2 / 10 . 	0.8830	0.0144		0.0050	0.0122	0.0240	0.2445	0.8404		0.0014	0.0228	0.0020		-11647.3	-33631.5	542.	TP02_grain2_line1_ol	156.29	 18	24/10/2014 05:57:39	
2 / 11 . 	0.8829	0.0144		0.0051	0.0117	0.0245	0.2479	0.8387		0.0014	0.0228	0.0020		-11639.2	-33638.2	542.	TP02_grain2_line1_ol	166.73	 19	24/10/2014 06:08:23	
2 / 12 . 	0.8870	0.0144		0.0051	0.0117	0.0235	0.2466	0.8430		0.0014	0.0225	0.0020		-11631.2	-33644.8	542.	TP02_grain2_line1_ol	177.17	 20	24/10/2014 06:19:07	
2 / 13 . 	0.8828	0.0142		0.0051	0.0118	0.0238	0.2471	0.8406		0.0014	0.0227	0.0020		-11623.1	-33651.4	542.	TP02_grain2_line1_ol	187.6	 21	24/10/2014 06:29:51	
2 / 14 . 	0.8814	0.0143		0.0051	0.0116	0.0241	0.2466	0.8404		0.0014	0.0223	0.0021		-11615.	-33658.	542.	TP02_grain2_line1_ol	198.04	 22	24/10/2014 06:40:35	
2 / 15 . 	0.8806	0.0145		0.0051	0.0119	0.0240	0.2469	0.8400		0.0014	0.0228	0.0020		-11606.9	-33664.6	542.	TP02_grain2_line1_ol	208.48	 23	24/10/2014 06:51:19	
2 / 16 . 	0.8815	0.0143		0.0051	0.0117	0.0238	0.2505	0.8416		0.0014	0.0228	0.0020		-11598.9	-33671.2	542.	TP02_grain2_line1_ol	218.92	 24	24/10/2014 07:02:03	
2 / 17 . 	0.8863	0.0143		0.0050	0.0117	0.0243	0.2479	0.8409		0.0014	0.0229	0.0021		-11590.8	-33677.9	542.	TP02_grain2_line1_ol	229.36	 25	24/10/2014 07:12:46	
2 / 18 . 	0.8845	0.0144		0.0050	0.0117	0.0240	0.2462	0.8388		0.0014	0.0226	0.0021		-11582.7	-33684.5	542.	TP02_grain2_line1_ol	239.79	 26	24/10/2014 07:23:30	
2 / 19 . 	0.8785	0.0143		0.0051	0.0119	0.0237	0.2423	0.8397		0.0014	0.0228	0.0021		-11574.6	-33691.1	542.	TP02_grain2_line1_ol	250.23	 27	24/10/2014 07:34:13	
2 / 20 . 	0.8809	0.0145		0.0051	0.0119	0.0242	0.2469	0.8409		0.0014	0.0227	0.0020		-11566.5	-33697.7	542.	TP02_grain2_line1_ol	260.67	 28	24/10/2014 07:44:57	
2 / 21 . 	0.8817	0.0143		0.0051	0.0119	0.0239	0.2462	0.8411		0.0014	0.0225	0.0021		-11558.5	-33704.3	542.	TP02_grain2_line1_ol	271.11	 29	24/10/2014 07:55:41	
2 / 22 . 	0.8826	0.0143		0.0051	0.0117	0.0238	0.2468	0.8424		0.0014	0.0227	0.0021		-11550.4	-33710.9	542.	TP02_grain2_line1_ol	281.55	 30	24/10/2014 08:06:23	
2 / 23 . 	0.8883	0.0145		0.0051	0.0117	0.0241	0.2464	0.8413		0.0014	0.0225	0.0021		-11542.3	-33717.5	542.	TP02_grain2_line1_ol	291.99	 31	24/10/2014 08:17:07	
2 / 24 . 	0.8827	0.0145		0.0051	0.0116	0.0238	0.2459	0.8413		0.0014	0.0227	0.0021		-11534.2	-33724.2	542.	TP02_grain2_line1_ol	302.43	 32	24/10/2014 08:27:51	
2 / 25 . 	0.8809	0.0146		0.0050	0.0118	0.0242	0.2453	0.8386		0.0014	0.0233	0.0021		-11526.2	-33730.8	542.	TP02_grain2_line1_ol	312.87	 33	24/10/2014 08:38:35	
2 / 26 . 	0.8812	0.0146		0.0051	0.0119	0.0238	0.2480	0.8404		0.0014	0.0230	0.0021		-11518.1	-33737.4	542.	TP02_grain2_line1_ol	323.3	 34	24/10/2014 08:49:19	
2 / 27 . 	0.8821	0.0146		0.0051	0.0117	0.0240	0.2473	0.8399		0.0014	0.0231	0.0021		-11510.	-33744.	542.	TP02_grain2_line1_ol	333.74	 35	24/10/2014 09:00:03	
3 / 1 . 	0.0130	0.0146	0.0136	0.0083	1.0073	0.0397	0.3839	0.3119	0.0139	0.3505	0.0515	0.0138		-11763.	-33524.	542.	TP02_grain2_line2_sp_whole grain	14.42	 36	24/10/2014 09:10:50	
3 / 2 . 	0.0132	0.0139	0.0140	0.0083	1.0103	0.0410	0.3781	0.3149	0.0144	0.3500	0.0524	0.0136		-11769.5	-33522.5	542.	TP02_grain2_line2_sp_whole grain	13.58	 37	24/10/2014 09:16:02	
